,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000
207,JS344  ,211917139,0.47,16.72,12.01,1.97,0.5045,0,Y,0.00794,       ,       , ,N,Y,Y,    ,0.02311,1.05503,2,     ,     ,     ,     ,15.15,                                                                                            ,0,2,All,2M,Simbad,130.045213,18.982517
208,JS424  ,212031366,0.76,13.0,10.7,12.42,0.9446,0,Y,0.00951,       ,       , ,N,Y,N,    ,0.01793,0.87872,2,     ,     ,     ,     ,13.0,                                                                                            ,0,2,All,2M,Simbad,130.330098,20.777565
209,AD 2825,212013619,0.4,16.58,12.25,7.36,0.418,0,Y,0.00764,       ,       , ,N,Y,N,    ,0.02106,0.89646,2,     ,     ,     ,     ,16.02,                                                                                            ,1,2,All,2M,Simbad,130.199141,20.479975
210,JS704  ,212024396,0.24,17.71,13.14,16.7,0.703,0,Y,0.00832,       ,       , ,N,Y,N,    ,0.0542,2.30589,2,     ,     ,     ,     ,17.17,                                                                                            ,0,1,All,2M,Simbad,129.51927,20.659798000000002
211,JS111  ,211928930,0.37,16.82,12.38,8.26,0.4497,0,Y,0.00834,       ,       , ,N,Y,Y,    ,0.01512,0.6316,2,     ,     ,     ,     ,16.23,                                                                                            ,0,2,All,2M,Simbad,129.037336,19.158592000000002
212,       ,211936017,0.73,13.05,10.76,11.79,0.4441,0,N,0.00825,       ,       , ,N,Y,N,    ,0.01441,0.73502,K,     ,     ,     ,11.97,13.08,                                                                                            ,0,1,All,2M,Simbad,129.401006,19.265076999999998
213,JS180  ,211927213,0.61,14.18,11.19,14.66,0.872,0,Y,0.00852,       ,       , ,N,Y,N,    ,0.02621,1.20209,2,     ,     ,     ,     ,14.15,                                                                                            ,1,2,All,2M,Simbad,129.359979,19.132137
214,HSHJ218,211956426,0.18,18.9,13.96,0.61,0.2721,0,Y,0.00804,       ,       , ,N,Y,M,    ,0.07854,1.35875,2,     ,     ,     ,     ,18.24,                                                                                            ,0,2,All,2M,Simbad,129.673346,19.571692000000002
215,JS284  ,212029094,0.45,15.78,12.06,19.91,0.55,0,Y,0.00919,       ,       , ,N,Y,N,    ,0.02244,0.91514,2,     ,     ,     ,     ,15.42,                                                                                            ,1,2,All,2M,Simbad,129.825208,20.739261
216,KW508  ,211969494,1.15,10.63,9.36,6.38,0.8435,0,Y,0.00812,       ,       , ,N,Y,N,conf,0.02558,1.08499,K,     ,     ,     ,6.19,10.66,                                                                                            ,1,1,All,2M,Simbad,130.834134,19.769041
217,JS503  ,212019252,0.92,12.16,10.26,11.26,0.492,0,Y,0.00836,       ,       , ,N,Y,N,    ,0.00529,0.16428,D,     ,9.95,     ,     ,12.14,peak splitting                                                                              ,2,2,All,2M,Simbad,130.70195900000002,20.573431
218,KW544  ,212019439,0.89,12.13,10.31,9.36,0.4424,0,Y,0.00783,       ,       , ,N,Y,N,    ,0.02344,0.75711,K,     ,     ,     ,9.16,12.13,                                                                                            ,1,2,All,2M,Simbad,129.692107,20.57678
219,JS391  ,211929980,0.44,16.7,12.1,1.18,0.5171,0,Y,0.00733,       ,       , ,N,N,N,    ,0.04374,1.89265,2,     ,     ,     ,     ,15.32,                                                                                            ,0,2,All,2M,Simbad,130.217957,19.174451
220,KW267  ,211970147,0.78,12.43,10.64,11.6,0.7588,0,Y,0.00823,       ,       , ,N,Y,N,    ,0.02396,1.21086,S,     ,     ,5.68,11.89,12.87,                                                                                            ,0,2,All,2M,Simbad,130.056046,19.77881
221,JS160  ,211924546,0.64,14.1,10.97,14.88,0.8209,0,Y,0.00823,1.1951,0.0712,0,Y,N,N,cand,0.01404,0.62568,K,     ,     ,     ,14.85,14.02,                                                                                            ,1,2,All,2M,Simbad,129.236655,19.091128
222,KW541  ,211895099,1.17,10.5,9.28,7.31,0.6152,0,Y,0.00816,3.6866,0.2026,1,M,Y,N,    ,0.01,0.47471,D,     ,7.59,     ,7.38,10.57,                                                                                            ,2,1,All,2M,Simbad,129.38783,18.654311
223,AD 3093,211982727,0.19,18.61,13.73,0.59,0.128,0,Y,0.00703,       ,       , ,N,N,N,    ,0.03617,0.1421,S,     ,     ,0.58,     ,18.03,                                                                                            ,0,2,All,2M,Simbad,130.624524,19.975475
224,JS466  ,211990953,0.8,12.82,10.6,11.34,0.7506,0,Y,0.00821,       ,       , ,N,Y,N,    ,0.02296,0.96768,D,     ,11.08,     ,11.48,12.8,                                                                                            ,1,2,All,2M,Simbad,130.495157,20.107509
225,JS529  ,212015396,1.04,11.59,9.78,9,0.1768,0,Y,0.00796,       ,       , ,N,Y,N,cand,0.02154,0.46628,D,     ,8.91,     ,8.9,11.55,                                                                                            ,2,1,All,2M,Simbad,130.824326,20.510395000000003
226,KW141  ,211940093,0.92,12.05,10.26,4.89,0.6536,1,Y,0.00853,       ,       , ,N,Y,N,    ,0.01327,0.50634,D,     ,9.42,     ,9.79,12.11,2x primary peak might be the true period                                                    ,2,2,All,2M,Simbad,129.759509,19.326245
227,       ,212075775,1.01,11.61,9.97,9.02,0.2018,0,Y,0.0083,       ,       , ,N,Y,N,    ,0.00664,0.26359,D,     ,8.88,     ,9.5,11.45,                                                                                            ,2,2,All,2M,Simbad,130.15098600000002,21.561719
228,JS490  ,211958562,0.43,16.59,12.11,1.28,0.2026,0,Y,0.00743,       ,       , ,N,N,N,    ,0.0092,0.23826,S,     ,     ,1.15,     ,15.07,                                                                                            ,0,2,All,2M,Simbad,130.641775,19.603407
229,KW183  ,211970678,0.99,11.97,10.06,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        , ,     ,     ,     ,     ,12.31,neither fits the repeats in the full light curve; peak splitting in the dominant peak       ,1,2,All,2M,Simbad,129.87250600000002,19.78661
230,AD 3369,211938350,0.2,18.23,13.55,26.61,0.3424,0,Y,0.00809,       ,       , ,N,N,N,    ,0.02924,1.01865,2,     ,     ,     ,     ,16.64,                                                                                            ,0,2,All,2M,Simbad,131.274619,19.299309
231,AD 3015,212008129,0.16,19.34,14.23,0.33,0.2867,0,Y,0.00776,       ,       , ,N,Y,N,    ,0.03304,1.02154,2,     ,     ,     ,     ,18.61,                                                                                            ,0,2,All,2M,Simbad,130.449687,20.389618
232,HSHJ428,211983544,0.21,18.03,13.39,1.69,0.1802,0,Y,0.00737,       ,       , ,N,N,M,cand,0.05057,2.14679,P,1.69,     ,1.71,     ,17.45,                                                                                            ,0,2,All,2M,Simbad,130.656758,19.988607000000002
233,JS 94  ,211926825,0.39,16.52,12.29,5.67,0.2051,0,Y,0.0076,       ,       , ,N,N,M,    ,0.0204,0.38593,2,     ,     ,     ,     ,15.69,                                                                                            ,0,2,All,2M,Simbad,128.915377,19.126851000000002
234,HSHJ370,211976466,0.19,18.78,13.77,1.64,0.0444,0,Y,0.00643,       ,       , ,N,N,N,    ,0.04091,1.00312,S,     ,     ,1.69,     ,18.08,                                                                                            ,0,2,All,2M,Simbad,130.36168899999998,19.876865
235,JS150  ,211955417,0.91,13.42,10.28,12.02,0.7542,0,Y,0.00925,       ,       , ,Y,Y,N,cand,0.03674,1.41072,K,     ,     ,     ,12.23,13.32,additional period visible but not detected                                                  ,1,2,All,2M,Simbad,129.206536,19.55636
236,JS475  ,211973710,0.45,15.79,12.05,21.94,0.7349,0,Y,0.00826,       ,       , ,N,N,N,    ,0.00723,0.29638,2,     ,     ,     ,     ,15.31,                                                                                            ,0,2,All,2M,Simbad,130.556892,19.835726
237,JS513  ,211949501,0.58,14.77,11.55,16.33,0.5835,0,Y,0.00893,       ,       , ,N,Y,N,    ,0.00697,0.3233,2,     ,     ,     ,     ,14.65,                                                                                            ,1,2,All,2M,Simbad,130.772025,19.465165
238,JS158  ,211958252,0.36,16.58,12.43,11.83,0.6271,0,Y,0.00778,       ,       , ,N,Y,Y,    ,0.02522,1.2662,2,     ,     ,     ,     ,16.13,                                                                                            ,1,2,All,2M,Simbad,129.23326799999998,19.599192000000002
239,JS459  ,212005503,0.41,15.82,12.19,20.73,0.1143,1,Y,0.00789,       ,       , ,N,Y,N,    ,0.00938,0.25855,2,     ,     ,     ,     ,15.29,                                                                                            ,0,2,All,2M,Simbad,130.466306,20.346621
240,JS315  ,211916718,0.33,16.63,12.56,15.26,0.7438,0,Y,0.00814,       ,       , ,N,Y,N,    ,0.04336,2.04662,2,     ,     ,     ,     ,16.4,                                                                                            ,0,2,All,2M,Simbad,129.94054,18.976124
241,AD 3003,212018959,0.18,18.81,13.83,0.86,0.1454,0,Y,0.00797,       ,       , ,N,Y,M,    ,0.04331,1.38999,2,     ,     ,     ,     ,18.13,                                                                                            ,0,2,All,2M,Simbad,130.425284,20.568867
242,JS720  ,212027446,0.26,17.42,12.97,5.31,0.8714,0,Y,0.00813,       ,       , ,N,Y,Y,    ,0.06622,3.28754,P,5.3,     ,     ,     ,16.91,                                                                                            ,0,2,All,2M,Simbad,130.070418,20.71174
243,AD 3196,211931651,0.31,17.22,12.65,21.94,0.1141,0,Y,0.00683,7.1375,0.0236,1,M,N,N,    ,0.01113,0.44555,2,     ,     ,     ,     ,16.55,additional period is distinctly possible but not clear whether second highest peak is correc,0,2,All,2M,Simbad,130.843348,19.200209
244,HSHJ229,211938988,0.25,18.1,13.04,1.09,0.0727,0,N,0.00784,0.7196,0.0253,1,M,Y,N,    ,0.01098,0.31391,S,     ,     ,2.29,     ,17.24,                                                                                            ,0,2,All,2M,Simbad,129.712642,19.309314999999998
245,HSHJ452,211989144,0.2,18.29,13.56,7.4,0.0763,1,Y,0.00792,       ,       , ,N,N,M,cand,0.01926,0.3518,2,     ,     ,     ,     ,17.69,low amplitude in first half of campaign                                                     ,0,2,All,2M,Simbad,130.834559,20.079334
246,JS250  ,211974724,0.37,16.75,12.36,33.04,0.3867,0,Y,0.0069,       ,       , ,N,N,N,cand,0.02143,0.87555,P,35.85,     ,     ,     ,16.29,                                                                                            ,0,2,All,2M,Simbad,129.712653,19.85059
247,HSHJ328,211951824,0.2,18.74,13.54,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,16.52,                                                                                            ,0,2,All,2M,Simbad,130.173602,19.500216
248,JS745  ,211916235,0.27,17.39,12.87,16.51,0.3245,0,Y,0.00814,       ,       , ,N,Y,N,    ,0.02829,1.33415,2,     ,     ,     ,     ,16.87,                                                                                            ,0,2,All,2M,Simbad,131.115379,18.969341
249,HSHJ242,211903302,0.3,17.26,12.71,2.71,0.1351,0,Y,0.00789,       ,       , ,N,Y,N,    ,0.01912,0.78221,P,2.69,     ,     ,     ,15.71,                                                                                            ,0,2,All,2M,Simbad,129.740699,18.775254999999998
250,IZ080  ,211959487,0.15,19.86,14.54,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,19.13,                                                                                            ,0,1,All,2M,Simbad,130.478207,19.616941
251,JS186  ,211925371,0.72,13.34,10.77,13.12,0.875,0,Y,0.00941,       ,       , ,N,Y,N,conf,0.01455,0.68789,2,     ,     ,     ,     ,13.37,                                                                                            ,0,1,All,2M,Simbad,129.37936499999998,19.103962
252,AD 3140,212004774,0.17,19.09,14.07,     ,       ,3, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,18.41,                                                                                            ,0,2,All,2M,Simbad,130.710514,20.334435
253,AD 2991,212016785,0.16,19.58,14.35,0.52,0.0305,1,Y,0.00734,       ,       , ,N,Y,N,    ,0.04458,0.57422,2,     ,     ,     ,     ,18.78,                                                                                            ,0,2,All,2M,Simbad,130.406592,20.533459
254,KW256  ,211920022,1.0,12.3,10.01,4.67,0.4304,0,Y,0.00849,       ,       , ,M,Y,M,cand,0.06078,2.22994,D,     ,4.8,     ,9.76,12.34,                                                                                            ,2,2,All,2M,Simbad,130.02381599999998,19.025183
255,       ,211955047,0.28,17.19,12.8,29.19,0.4662,0,Y,0.00881,       ,       , ,N,N,M,    ,0.06159,2.27182,2,     ,     ,     ,     ,16.66,                                                                                            ,1,1,All,2M,Simbad,129.419201,19.5509
256,JS533  ,212018728,0.6,14.57,11.4,16.51,0.5666,0,Y,0.00811,       ,       , ,N,Y,N,    ,0.01851,0.68121,2,     ,     ,     ,     ,14.41,                                                                                            ,1,2,All,2M,Simbad,130.854221,20.565367000000002
257,JS564  ,211914124,0.45,16.55,12.06,18,0.4432,0,Y,0.00809,       ,       , ,N,Y,M,    ,0.01684,0.59947,2,     ,     ,     ,     ,17.56,                                                                                            ,0,2,All,2M,Simbad,131.07973,18.936104
258,JS521  ,211949728,0.37,17.11,12.39,3.25,0.4308,0,Y,0.00861,4.4448,0.1341,0,Y,Y,N,    ,0.02225,0.822,2,     ,     ,     ,     ,16.52,                                                                                            ,0,2,All,2M,Simbad,130.784974,19.468365
259,JS552  ,212006723,0.58,14.96,11.51,18.79,0.7462,0,Y,0.00821,       ,       , ,N,Y,Y,    ,0.00984,0.47261,2,     ,     ,     ,     ,14.76,                                                                                            ,0,2,All,2M,Simbad,130.961879,20.365762
260,JS445  ,211953172,0.75,12.96,10.73,13.48,0.6871,0,Y,0.00816,       ,       , ,N,Y,N,    ,0.00298,0.11492,2,     ,     ,     ,     ,13.17,                                                                                            ,1,2,All,2M,Simbad,130.405871,19.520529999999997
261,JS191  ,211998178,0.6,15.08,11.36,15.57,0.6637,0,Y,0.00751,       ,       , ,N,Y,Y,cand,0.01062,0.44291,2,     ,     ,     ,     ,14.63,                                                                                            ,0,1,All,2M,Simbad,129.396097,20.224048
262,KW430  ,211994672,0.99,11.79,10.09,9.6,0.5681,0,Y,0.0083,       ,       , ,N,Y,N,    ,0.0095,0.42009,2,     ,     ,     ,     ,11.73,bleed stripe across stamp                                                                   ,1,2,All,2M,Simbad,130.466594,20.166976000000002
263,AD 3312,211998650,0.22,18.06,13.35,2.09,0.305,0,Y,0.0084,       ,       , ,N,Y,Y,    ,0.0229,0.87113,2,     ,     ,     ,     ,17.53,                                                                                            ,0,2,All,2M,Simbad,131.096719,20.23214
264,JS200  ,211952707,0.54,15.33,11.78,15.41,0.637,0,Y,0.00777,       ,       , ,N,Y,N,    ,0.02617,1.17243,2,     ,     ,     ,     ,14.99,                                                                                            ,0,1,All,2M,Simbad,129.457607,19.514092
265,JS595  ,212010154,0.61,14.2,11.21,14.38,0.672,0,Y,0.0074,       ,       , ,N,Y,Y,    ,0.00684,0.29625,2,     ,     ,     ,     ,14.26,                                                                                            ,1,2,All,2M,Simbad,131.358321,20.422945000000002
266,JS230  ,211914465,0.55,16.01,11.73,4.69,0.0527,0,Y,0.00703,1.1252,0.0276,0,Y,N,N,    ,0.00664,0.1788,2,     ,     ,     ,     ,15.07,third highest peak (second likely period) is complex                                        ,0,1,All,2M,Simbad,129.605748,18.941633
267,JS478  ,211989950,0.63,13.71,10.99,12.84,0.2568,0,N,0.0094,       ,       , ,N,Y,N,    ,0.01256,0.40191,K,     ,     ,     ,14.12,13.63,2x primary peak is more likely the true period; second highest peak is close                ,1,2,All,2M,Simbad,130.569352,20.09236
268,JS349  ,211949039,0.76,13.12,10.69,11.97,0.8585,0,Y,0.00826,       ,       , ,N,Y,N,    ,0.01172,0.50508,2,     ,     ,     ,     ,13.4,                                                                                            ,1,2,All,2M,Simbad,130.064599,19.458621
269,       ,212011731,0.45,15.86,12.04,21.47,0.8781,0,Y,0.0087,       ,       , ,N,N,Y,    ,0.03669,1.59981,2,     ,     ,     ,     ,15.33,                                                                                            ,1,1,All,2M,Simbad,129.530453,20.448794
270,HSHJ419,211987717,0.23,17.93,13.27,3.9,0.1369,0,Y,0.00939,       ,       , ,N,Y,N,    ,0.01331,0.55443,S,     ,     ,4,     ,17.36,                                                                                            ,1,2,All,2M,Simbad,130.587961,20.055799
271,JS456  ,211931411,0.69,13.9,10.83,13.66,0.5185,0,Y,0.00897,6.7677,0.2971,0,Y,Y,N,cand,0.01325,0.65215,K,     ,     ,     ,14.11,13.8,                                                                                            ,1,2,All,2M,Simbad,130.455617,19.196386999999998
272,AD 1786,212013705,0.21,18.01,13.43,2.14,0.5876,0,Y,0.00793,       ,       , ,N,N,N,    ,0.026,1.17131,2,     ,     ,     ,     ,17.48,                                                                                            ,0,2,All,2M,Simbad,128.409919,20.481268
273,HSHJ348,211925319,0.16,19.32,14.17,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,17.57,                                                                                            ,0,2,All,2M,Simbad,130.276957,19.102970000000003
274,AD 2216,211993420,0.19,18.59,13.78,2.23,0.3152,0,Y,0.00935,       ,       , ,N,Y,N,    ,0.02249,0.93524,2,     ,     ,     ,     ,17.97,                                                                                            ,1,2,All,2M,Simbad,129.187568,20.146084
275,JS145  ,211911279,0.69,13.48,10.84,12.84,0.3497,0,Y,0.00852,       ,       , ,N,Y,M,    ,0.00419,0.10932,2,     ,     ,     ,     ,13.48,                                                                                            ,1,2,All,2M,Simbad,129.177904,18.895229
276,JS183  ,211916756,0.35,16.44,12.47,23.86,0.5622,0,Y,0.00884,       ,       , ,N,Y,N,    ,0.01408,0.69491,2,     ,     ,     ,     ,15.5,transits/eclipses visible but not picked up in periodogram                                  ,0,2,All,2M,Simbad,129.362743,18.976685
277,       ,212020360,0.17,19.09,14.13,0.52,0.0991,0,Y,0.00797,       ,       , ,N,N,N,    ,0.04025,0.20276,2,     ,     ,     ,     ,18.41,                                                                                            ,0,1,All,2M,Simbad,130.689113,20.592669
278,KW515  ,211996051,1.25,9.99,8.92,3.65,0.1357,0,Y,0.00844,       ,       , ,N,Y,N,conf,0.00258,0.03945,2,     ,     ,     ,     ,10.02,                                                                                            ,1,1,All,2M,Simbad,130.898065,20.189588
279,JS474  ,211936199,0.84,13.0,10.48,10.77,0.7045,0,Y,0.00762,       ,       , ,N,Y,Y,    ,0.00527,0.20364,2,     ,     ,     ,     ,13.0,                                                                                            ,1,2,All,2M,Simbad,130.553573,19.267734
280,AD 2509,211970613,0.17,19.55,14.14,1.01,0.0744,0,Y,0.00767,       ,       , ,N,N,Y,    ,0.09486,2.39782,S,     ,     ,0.5,     ,18.81,                                                                                            ,0,2,All,2M,Simbad,129.778983,19.785564
281,JS493  ,211993172,0.68,13.5,10.87,11.97,0.8245,0,Y,0.0077,       ,       , ,N,Y,Y,    ,0.0198,0.87836,D,     ,12.22,     ,12.22,13.46,                                                                                            ,2,2,All,2M,Simbad,130.654156,20.142162
282,JS141  ,212007343,0.29,17.14,12.75,16.98,0.1153,0,Y,0.00678,1.4396,0.0275,0,Y,N,Y,    ,0.0151,0.55679,2,     ,     ,     ,     ,16.74,                                                                                            ,0,2,All,2M,Simbad,129.164487,20.376104
283,JS688  ,211900619,0.26,17.73,12.96,1.7,0.4536,0,Y,0.00758,       ,       , ,Y,N,N,    ,0.01794,0.62745,2,     ,     ,     ,     ,17.12,                                                                                            ,1,2,All,2M,Simbad,129.050308,18.735495
284,HSHJ164,211905676,0.21,18.14,13.47,1.12,0.4492,0,Y,0.00788,       ,       , ,N,N,N,    ,0.04131,1.47983,2,     ,     ,     ,     ,17.57,                                                                                            ,0,2,All,2M,Simbad,129.362797,18.810961
285,JS157  ,212003893,0.61,15.14,11.23,2.13,0.471,0,Y,0.00792,16.0727,0.1291,0,Y,Y,M,cand,0.03377,1.14732,2,     ,     ,     ,     ,14.26,                                                                                            ,0,2,All,2M,Simbad,129.235769,20.31948
286,JS576  ,212002216,0.83,12.55,10.51,10.93,0.4485,0,Y,0.00884,       ,       , ,N,N,N,    ,0.01687,0.53219,K,     ,     ,     ,11.33,12.52,peak splitting                                                                              ,1,2,All,2M,Simbad,131.20295900000002,20.290554
287,HSHJ458,211983811,0.27,17.45,12.92,34.17,0.4898,0,Y,0.00739,       ,       , ,N,N,Y,    ,0.02823,1.11019,2,     ,     ,     ,     ,16.02,                                                                                            ,0,2,All,2M,Simbad,130.885943,19.992501999999998
288,HSHJ396,211951438,0.17,19.11,14.12,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        ,S,     ,     ,0.59,     ,18.46,                                                                                            ,1,2,All,2M,Simbad,130.460787,19.494328
289,JS572  ,211996321,0.62,13.86,11.07,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,13.77,                                                                                            ,1,2,All,2M,Simbad,131.169811,20.193635
290,JS140  ,211930699,0.61,14.14,11.2,6.74,0.5576,0,Y,0.00791,       ,       , ,N,Y,N,    ,0.00852,0.31879,K,     ,     ,     ,13.35,14.09,2x primary peak might be the true period                                                    ,1,2,All,2M,Simbad,129.151777,19.185206
291,HSHJ 34,211951112,0.27,17.76,12.91,2.31,0.2307,0,Y,0.00782,       ,       , ,N,N,N,cand,0.02779,1.20811,2,     ,     ,     ,     ,17.13,                                                                                            ,0,2,All,2M,Simbad,128.29576799999998,19.489498
292,JS 95  ,211898716,0.37,17.12,12.36,1.97,0.4313,0,N,0.00993,24.4413,0.2896,1,Y,Y,N,    ,0.02823,1.01405,P,1.98,     ,     ,     ,16.34,                                                                                            ,0,2,All,2M,Simbad,128.917305,18.707878
293,HSHJ 86,211957616,0.2,18.11,13.47,1.18,0.7658,0,Y,0.00813,       ,       , ,N,N,M,    ,0.03165,1.44299,2,     ,     ,     ,     ,17.56,                                                                                            ,0,2,All,2M,Simbad,128.947121,19.589651
294,HSHJ258,211943617,0.17,19.28,14.01,0.55,0.2917,0,Y,0.00789,       ,       , ,N,N,N,cand,0.03702,0.20021,S,     ,     ,0.55,     ,18.57,                                                                                            ,0,2,All,2M,Simbad,129.827107,19.378954
295,       ,211974687,0.2,18.27,13.56,0.9,0.3913,0,Y,0.00698,       ,       , ,N,Y,Y,    ,0.05731,2.0778,2,     ,     ,     ,     ,17.7,                                                                                            ,1,1,All,2M,Simbad,128.959436,19.850035000000002
296,AD 2527,211939989,0.17,18.97,13.99,0.92,0.1348,0,Y,0.00806,       ,       , ,N,Y,N,    ,0.02401,0.6278,S,     ,     ,0.47,     ,18.3,                                                                                            ,0,2,All,2M,Simbad,129.814087,19.324568
297,HSHJ451,211988832,0.18,18.89,13.88,0.99,0.0922,0,Y,0.00823,       ,       , ,N,N,Y,cand,0.02389,0.48614,2,     ,     ,     ,     ,18.24,                                                                                            ,1,2,All,2M,Simbad,130.833894,20.073851
298,JS506  ,211975518,0.41,16.53,12.21,3.97,0.8713,0,Y,0.00962,       ,       , ,N,N,N,    ,0.03502,1.66723,P,3.97,     ,3.97,     ,15.03,                                                                                            ,0,2,All,2M,Simbad,130.71778700000002,19.862637
299,JS568  ,211915918,0.37,17.18,12.39,4.67,0.7633,0,Y,0.00909,       ,       , ,N,Y,Y,    ,0.02996,1.45789,2,     ,     ,     ,     ,16.26,                                                                                            ,0,2,All,2M,Simbad,131.13708400000002,18.964075
300,KW546  ,211896418,1.03,11.4,9.83,9.66,0.6876,0,Y,0.00719,       ,       , ,N,Y,N,    ,0.00795,0.37988,K,     ,     ,     ,9.46,11.41,                                                                                            ,1,2,All,2M,Simbad,130.13998899999999,18.674485
301,JS541  ,211918605,0.53,16.04,11.79,8.21,0.5281,0,N,0.0078,22.1036,0.3749,0,Y,N,M,    ,0.03109,1.05111,2,     ,     ,     ,     ,15.61,                                                                                            ,0,2,All,2M,Simbad,130.897307,19.003947
302,       ,212006108,0.17,19.01,14.03,3.16,0.4319,0,Y,0.00794,       ,       , ,N,N,N,    ,0.03604,1.39856,2,     ,     ,     ,     ,17.33,                                                                                            ,0,1,All,2M,Simbad,129.605715,20.355841
303,KW263  ,211959779,0.98,11.41,10.13,7.97,0.62,0,Y,0.00742,       ,       , ,M,Y,N,    ,0.01222,0.57449,K,     ,     ,     ,7.96,11.8,peak splitting; only one detected                                                           ,1,2,All,2M,Simbad,130.04034,19.621426
304,JS266  ,212018862,0.39,16.45,12.28,3.68,0.1611,0,Y,0.00648,       ,       , ,N,N,Y,    ,0.01461,0.61923,2,     ,     ,     ,     ,16.02,                                                                                            ,0,2,All,2M,Simbad,129.766448,20.567314
305,KW574  ,211980180,0.73,13.16,10.76,13.42,0.2489,1,Y,0.00795,       ,       , ,N,Y,N,    ,0.0135,0.21885,2,     ,     ,     ,     ,13.17,                                                                                            ,0,2,All,2M,Simbad,130.290801,19.935344
306,JS398  ,211890216,0.62,13.97,11.13,12.57,0.7626,0,Y,0.00882,       ,       , ,N,Y,Y,    ,0.01431,0.71374,D,     ,12.49,     ,12.42,13.91,                                                                                            ,2,2,All,2M,Simbad,130.230459,18.583064
307,JS669  ,211976838,0.28,17.54,12.78,1.49,0.5074,0,Y,0.00956,       ,       , ,Y,N,N,    ,0.01664,0.61975,2,     ,     ,     ,     ,16.08,                                                                                            ,0,2,All,2M,Simbad,128.352586,19.882755
308,AD 3094,211926166,0.2,18.47,13.59,1.21,0.2324,0,Y,0.00751,       ,       , ,N,N,N,    ,0.03156,1.28009,2,     ,     ,     ,     ,17.86,                                                                                            ,0,2,All,2M,Simbad,130.62810100000002,19.116064
309,JS405  ,212013222,0.6,14.47,11.41,14.81,0.1769,0,Y,0.00884,       ,       , ,N,Y,N,    ,0.02654,0.63128,2,     ,     ,     ,     ,14.41,                                                                                            ,0,2,All,2M,Simbad,130.27213799999998,20.473481
310,AD 2179,211979250,0.18,18.97,13.87,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,18.27,                                                                                            ,0,2,All,2M,Simbad,129.127097,19.920538
311,KW301  ,211936906,1.05,10.98,9.65,8.76,0.1706,1,Y,0.0078,       ,       , ,Y,M,Y,    ,0.01019,0.20194,K,     ,     ,     ,7.58,11.02,peak splitting; additional period visible but not detected                                  ,1,1,All,2M,Simbad,130.11433200000002,19.278038000000002
312,AD 2791,212020850,0.18,18.91,13.96,0.79,0.0528,0,Y,0.00662,       ,       , ,N,Y,Y,    ,0.01852,0.44586,2,     ,     ,     ,     ,17.3,                                                                                            ,0,2,All,2M,Simbad,130.14566499999998,20.601057
313,HSHJ280,211908085,0.17,19.09,14.02,1.62,0.3374,0,Y,0.00772,       ,       , ,N,Y,N,    ,0.02708,1.04148,2,     ,     ,     ,     ,17.46,                                                                                            ,0,2,All,2M,Simbad,129.91698,18.84701
314,HSHJ309,212026805,0.16,19.37,14.26,0.6,0.1604,0,Y,0.00776,       ,       , ,N,N,Y,    ,0.04333,1.01796,2,     ,     ,     ,     ,18.66,                                                                                            ,0,2,All,2M,Simbad,130.070626,20.700198999999998
315,HSHJ299,211997857,0.18,19.31,13.81,0.83,0.1449,0,Y,0.00886,       ,       , ,N,N,N,    ,0.02815,0.64412,2,     ,     ,     ,     ,18.51,                                                                                            ,0,2,All,2M,Simbad,130.033967,20.218506
316,JS163  ,211940224,0.41,16.15,12.19,11.6,0.7473,0,Y,0.00799,       ,       , ,N,Y,M,    ,0.02539,1.24332,2,     ,     ,     ,     ,15.34,                                                                                            ,0,2,All,2M,Simbad,129.26118200000002,19.328438000000002
317,JS609  ,212014492,0.44,16.11,12.1,17.79,0.638,0,Y,0.00877,       ,       , ,N,Y,N,    ,0.02123,0.99512,2,     ,     ,     ,     ,15.09,                                                                                            ,0,2,All,2M,Simbad,131.441216,20.494736
318,HSHJ256,211940576,0.16,19.21,14.18,1.85,0.1282,0,Y,0.00781,       ,       , ,N,N,N,    ,0.02535,0.63218,S,     ,     ,1.75,     ,18.5,                                                                                            ,0,2,All,2M,Simbad,129.815536,19.334023000000002
319,JS401  ,211896450,0.84,13.25,10.49,12.47,0.668,0,Y,0.00825,       ,       , ,N,N,N,cand,0.0105,0.42574,K,     ,     ,     ,11.75,13.21,                                                                                            ,1,2,All,2M,Simbad,130.244412,18.675047
